# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	8.375000000000000000e+00	8.375000000000000500e-03	nan	4.585477137252242253e-04	3.642417743668718410e-03	1.255597490155509395e-04
nan	1.156250000000000000e+01	1.156249999999999986e-02	nan	6.712669409353597995e-04	3.326905122151199105e-03	1.298550366785548968e-04
nan	6.000000000000000000e+00	6.000000000000000992e-03	nan	8.213213249504518199e-04	2.719307495445066718e-03	1.420073457338778171e-04
nan	1.025000000000000000e+01	1.025000000000000043e-02	nan	1.307509023952583508e-03	2.492796403523463589e-03	1.253647507096804150e-04
nan	1.343750000000000000e+01	1.343749999999999979e-02	nan	1.353570907322069810e-03	2.710096612328963088e-03	1.295540334751091728e-04
nan	1.581250000000000000e+01	1.581250000000000017e-02	nan	1.590028412603393566e-03	2.679324151863285257e-03	1.305532977390446499e-04
nan	2.131250000000000000e+01	2.131249999999999811e-02	nan	1.827049238366795780e-03	2.426899086013006770e-03	1.312223144983622062e-04
nan	2.875000000000000000e+01	2.874999999999999778e-02	nan	1.935605976765231162e-03	1.923010293763084558e-03	1.614084678139123745e-04
nan	3.193750000000000000e+01	3.193750000000000061e-02	nan	1.944486557640345836e-03	1.780403907874805996e-03	1.644602372823844496e-04
nan	3.912500000000000000e+01	3.912500000000000006e-02	nan	2.150848818494921488e-03	1.742404025182115639e-03	1.643094922140907904e-04
nan	4.075000000000000000e+01	4.074999999999999456e-02	nan	2.169199252833209357e-03	1.705967914388651242e-03	1.313114173069451340e-04
nan	4.275000000000000000e+01	4.274999999999999634e-02	nan	2.181625193010461317e-03	1.665971469997193539e-03	1.557078652725697591e-04
nan	4.775000000000000000e+01	4.775000000000000078e-02	nan	2.421535936775853770e-03	1.617157292514664543e-03	1.677203423238368663e-04
nan	5.037500000000000000e+01	5.037499999999999617e-02	nan	3.347872545589325455e-03	1.792011882744738022e-03	1.694355247042834468e-04
nan	5.531250000000000000e+01	5.531250000000000056e-02	nan	3.669365977550853586e-03	1.666070680084991542e-03	1.780842491576613924e-04
nan	6.350000000000000000e+01	6.350000000000000089e-02	nan	4.176734679262494865e-03	1.582669686040823415e-03	1.776381783004146167e-04
nan	6.312500000000000000e+01	6.312500000000000056e-02	nan	3.228120775723652969e-03	1.522293501273348218e-03	1.663991991935823817e-04
nan	6.856250000000000000e+01	6.856249999999999845e-02	nan	3.440957481302575616e-03	1.504672167381480938e-03	1.652682368505173252e-04
nan	6.862500000000000000e+01	6.862500000000000544e-02	nan	4.385686715011161141e-03	1.541601895988730557e-03	1.694397371159672651e-04
nan	7.137500000000000000e+01	7.137499999999999400e-02	nan	4.396176808327822982e-03	1.408650963864532032e-03	1.705893095697478634e-04
nan	7.068750000000000000e+01	7.068750000000000033e-02	nan	4.533163062149014877e-03	1.691215707760933881e-03	1.684147121286968629e-04
nan	6.912500000000000000e+01	6.912499999999999201e-02	nan	4.607719427298206938e-03	1.656258748419559479e-03	1.653717192527571112e-04
nan	6.943750000000000000e+01	6.943749999999999922e-02	nan	5.399559289585909028e-03	1.439221995562209571e-03	1.755607679566867471e-04
nan	7.643750000000000000e+01	7.643750000000000544e-02	nan	5.248046782597270976e-03	1.401167355025119150e-03	1.777981805142977989e-04
nan	6.737500000000000000e+01	6.737499999999999045e-02	nan	5.475374358908879913e-03	1.403337592962980527e-03	1.557257571393084474e-04
nan	6.668750000000000000e+01	6.668750000000001066e-02	nan	5.763823528852185518e-03	1.195647224720099069e-03	1.649495718734225681e-04
nan	6.262500000000000000e+01	6.262500000000000011e-02	nan	6.320740547522518682e-03	1.419518075076516006e-03	1.745074413621047836e-04
nan	5.656250000000000000e+01	5.656249999999999473e-02	nan	5.542089094973334795e-03	1.354021944395015272e-03	1.778427068095534812e-04
nan	5.325000000000000000e+01	5.324999999999999178e-02	nan	6.837531180309497358e-03	1.530114066433491040e-03	1.618974337344833458e-04
nan	4.787500000000000000e+01	4.787500000000000089e-02	nan	6.630718207333075043e-03	1.138420494448279642e-03	1.599703106335173368e-04
nan	4.343750000000000000e+01	4.343750000000000389e-02	nan	5.661732463636326429e-03	1.768684331167918794e-03	1.752391314372574475e-04
nan	4.150000000000000000e+01	4.150000000000000216e-02	nan	6.291638003432353798e-03	1.537711364145759752e-03	1.538561578112571300e-04
nan	3.918750000000000000e+01	3.918750000000000011e-02	nan	8.111372997475996272e-03	1.597107193225419993e-03	1.673888880559319366e-04
nan	3.212500000000000000e+01	3.212500000000000078e-02	nan	8.016582206451516868e-03	1.324289039063534937e-03	1.380019314856240488e-04
nan	2.943750000000000000e+01	2.943749999999999839e-02	nan	8.331563925423779438e-03	1.679229403808082640e-03	1.610112827408016582e-04
nan	2.431250000000000000e+01	2.431250000000000078e-02	nan	9.123339204158635585e-03	1.612208416388468150e-03	1.410185288944466007e-04
nan	2.150000000000000000e+01	2.150000000000000175e-02	nan	1.067356506913070061e-02	1.534179718253048715e-03	1.336694107989941838e-04
nan	1.662500000000000000e+01	1.662500000000000089e-02	nan	1.130782566656486285e-02	1.741137158919365754e-03	1.247186779271914421e-04
nan	1.493750000000000000e+01	1.493749999999999939e-02	nan	1.029119231684308758e-02	1.722348127962952365e-03	1.282671441693129864e-04
