# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.975047199283722243e-03	1.091271040082725241e-02	1.014788823022576281e-02
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.497472906274282568e-02	9.141975659524594761e-03	8.426607235908120316e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.989672702555395772e-02	8.174765817625617020e-03	7.521357434835907949e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.495547090401402032e-02	7.533830624239509950e-03	6.510197002477571653e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.988226528845302349e-02	6.903833114160093549e-03	6.200196260090317171e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	3.496024833019816674e-02	6.617446975881931606e-03	5.584258888544578123e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	3.987930739530838598e-02	6.278087885858779464e-03	5.152822581908213066e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	4.491499467413120894e-02	6.012684523568308410e-03	5.004334821373156161e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	4.984151768660751575e-02	5.743154125757664145e-03	4.704515878994008048e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	5.488437812785832565e-02	5.738154049552001042e-03	4.462871053539023240e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	5.990478251103240753e-02	5.372724961734283086e-03	4.392037361247097885e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.491809608092807826e-02	5.457689091031965763e-03	4.244640298122900543e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.982912284383928359e-02	5.267894067087280571e-03	4.055423795629472736e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	7.451561451919815060e-02	5.270206336596784669e-03	4.008219031019747899e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	7.985734835169637502e-02	4.938096691775649243e-03	3.836977108465093773e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	8.487372651913119292e-02	4.958692452531829505e-03	3.804076606257286546e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	8.969776495227620161e-02	4.738268779017364846e-03	3.640670243619483458e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.480527710921819728e-02	5.041808294394043918e-03	3.541552957746060739e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.943699264005431693e-02	4.788825943905784290e-03	3.506667219175273187e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.048366717507201312e-01	4.700460759573484026e-03	3.330660101491612901e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.098877555294029695e-01	4.509628789285774660e-03	3.320245418749491560e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.148298493634888617e-01	4.634926753553948557e-03	3.207203226994133176e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.197786781532408779e-01	4.529711093572193030e-03	3.206116231125359477e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.248128493272611106e-01	4.567202768282603575e-03	3.168916017004903916e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.294417934187344910e-01	4.638804158927112634e-03	3.112018437506440180e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.348135598013777692e-01	4.593856904007308575e-03	3.080820717699744860e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.398516700322625095e-01	4.333440558962687802e-03	2.929988670088869498e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.445595776538948496e-01	4.337052543220548499e-03	2.926151548493898403e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.496446013966965527e-01	4.224332388842681925e-03	2.865299646962711239e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.547010211612860064e-01	4.435736029635843278e-03	2.831815959528880076e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.597655321252204885e-01	4.386070243843832005e-03	2.868386356756771373e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.647969945525483149e-01	4.346888273133049305e-03	2.794647575673220394e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.642273620700568093e-01	4.303881680840461986e-03	2.738358429989833868e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.742866301091157699e-01	4.234977201955818400e-03	2.736318203901623620e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.739752799005485073e-01	4.255203422947722788e-03	2.597582631111290154e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.846016607962997214e-01	4.140474173973710328e-03	2.588411725505175131e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.895072086066647843e-01	4.125749467886978029e-03	2.581868067716557372e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.947833803601133895e-01	4.202718050720529591e-03	2.609882367190139840e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.932299993852783504e-01	4.260226873278597642e-03	2.482199515563164680e-03
