# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.075999999999999801e+01	2.076000000000000761e-02	nan	8.732177455129885803e-05	1.473159425213651976e-03	8.632365918476041287e-05
nan	3.085000000000000142e+01	3.084999999999999895e-02	nan	1.257748855871909741e-04	1.423354489006546132e-03	9.763984514292160691e-05
nan	3.732999999999999829e+01	3.733000000000000207e-02	nan	1.592150114888113530e-04	1.238578959648689668e-03	9.979465644467211231e-05
nan	4.470000000000000284e+01	4.469999999999999668e-02	nan	2.453541230411815550e-04	1.118411546202583307e-03	1.069297999347830648e-04
nan	4.875000000000000000e+01	4.875000000000000167e-02	nan	2.847511206033459660e-04	1.037682168111388799e-03	1.095316757767187825e-04
nan	5.237999999999999545e+01	5.238000000000000295e-02	nan	3.440928880922911113e-04	9.767763281250609227e-04	1.134127416565320370e-04
nan	5.752000000000000313e+01	5.752000000000000168e-02	nan	3.773111171278742599e-04	9.004162176424557271e-04	1.143521724364427209e-04
nan	5.962999999999999545e+01	5.963000000000000245e-02	nan	4.225222641156279051e-04	8.466212098530344560e-04	1.137999311242354398e-04
nan	6.471000000000000796e+01	6.471000000000000363e-02	nan	5.087204674833856015e-04	8.052282719341115769e-04	1.129409642735279551e-04
nan	6.817000000000000171e+01	6.817000000000000837e-02	nan	5.717312173578647985e-04	8.691875177238465389e-04	1.191458798731775032e-04
nan	7.151000000000000512e+01	7.150999999999999024e-02	nan	6.041277042163528590e-04	8.515489072537272630e-04	1.165119739755529019e-04
nan	7.575000000000000000e+01	7.574999999999998401e-02	nan	6.203752780254490670e-04	7.846217266235088611e-04	1.212851639602303229e-04
nan	7.731000000000000227e+01	7.731000000000001759e-02	nan	7.270365922011024157e-04	7.740266614507732013e-04	1.215778272708930972e-04
nan	8.175000000000000000e+01	8.174999999999998934e-02	nan	7.743196491469461415e-04	7.664278554205647583e-04	1.196384186672125880e-04
nan	8.250000000000000000e+01	8.249999999999999001e-02	nan	8.119934852072674880e-04	7.007128174303398158e-04	1.207991752723552571e-04
nan	8.653999999999999204e+01	8.653999999999999193e-02	nan	8.807898756833766000e-04	7.480299595291933952e-04	1.219868490815103495e-04
nan	8.862999999999999545e+01	8.863000000000001433e-02	nan	9.559626679867960644e-04	7.258098655113433707e-04	1.223861960396552837e-04
nan	9.196999999999999886e+01	9.197000000000001008e-02	nan	1.004489007954134649e-03	6.848598996679699071e-04	1.190858407968210174e-04
nan	9.448999999999999488e+01	9.448999999999999067e-02	nan	1.057051206760206653e-03	7.216825526556488579e-04	1.211964775351829018e-04
nan	9.342999999999999261e+01	9.343000000000001304e-02	nan	1.177529412832427607e-03	6.538832808287764259e-04	1.235542884548306356e-04
nan	9.935999999999999943e+01	9.936000000000001775e-02	nan	1.273694663962032835e-03	6.875150800639232441e-04	1.215239626035372939e-04
nan	1.007999999999999972e+02	1.008000000000000285e-01	nan	1.212944487704134978e-03	6.485780839199364531e-04	1.232552301089112124e-04
nan	1.033900000000000148e+02	1.033900000000000097e-01	nan	1.434812840266203992e-03	7.173642943828363160e-04	1.235819852481680929e-04
nan	1.053200000000000074e+02	1.053199999999999970e-01	nan	1.384322479289039776e-03	7.174554034220720963e-04	1.218878702024172391e-04
nan	1.064299999999999926e+02	1.064299999999999830e-01	nan	1.574502003211364310e-03	6.494743146517144424e-04	1.246539190263302576e-04
nan	1.095300000000000011e+02	1.095299999999999885e-01	nan	1.586119160572252527e-03	6.945357593779561637e-04	1.225308023987865011e-04
nan	1.127900000000000063e+02	1.127899999999999875e-01	nan	1.667153071123266342e-03	6.485543994202728688e-04	1.233184140896714342e-04
nan	1.117800000000000011e+02	1.117799999999999905e-01	nan	1.784384934937861475e-03	6.330521904905256391e-04	1.225927222296788210e-04
nan	1.142500000000000000e+02	1.142499999999999905e-01	nan	1.780763074375499994e-03	7.054798738566462907e-04	1.231798068851603658e-04
nan	1.182199999999999989e+02	1.182199999999999918e-01	nan	1.860813854741536670e-03	6.589965805471034634e-04	1.235858031357467402e-04
nan	1.184500000000000028e+02	1.184499999999999859e-01	nan	1.940416255474701869e-03	6.596977051247484083e-04	1.246385236421150154e-04
nan	1.206900000000000119e+02	1.206899999999999917e-01	nan	1.992170564924435928e-03	6.536326852085971298e-04	1.237055312491969726e-04
nan	1.210599999999999881e+02	1.210599999999999871e-01	nan	2.193721397707122482e-03	6.142086288040554676e-04	1.235706451408724572e-04
nan	1.235300000000000011e+02	1.235300000000000009e-01	nan	2.279914569203356396e-03	6.538126457144710765e-04	1.238168953272181076e-04
nan	1.244699999999999989e+02	1.244700000000000112e-01	nan	2.392940019410616428e-03	6.481303808647482850e-04	1.235223480540011891e-04
nan	1.295900000000000034e+02	1.295900000000000107e-01	nan	2.496617699073340035e-03	6.181124093127307161e-04	1.240463938889891315e-04
nan	1.296700000000000159e+02	1.296700000000000075e-01	nan	2.420191691833224312e-03	7.088958458447711455e-04	1.237273512881360209e-04
nan	1.311599999999999966e+02	1.311599999999999988e-01	nan	2.616786737592064968e-03	6.431254430394684266e-04	1.227409086768114826e-04
nan	1.315000000000000000e+02	1.315000000000000058e-01	nan	2.532403242503278220e-03	6.031418142757258034e-04	1.232915174952611977e-04
