,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,579.8,0.5798,100.0,0.0028063300788886,0.0418641818675008,0.0063658988154876,14031160000000.0,9044880000000.0,7305480000000.0,35.929421328237375,20.78578945092201,503016104712312.6,324258315434383.4,261900947081617.3,5.8057965437332086e-05,3.742579590175126e-05,3.022852745910679e-05,2.793604905825668e-05,1.800836220284315e-05,1.454521562537331e-05
1,1,2.25,0.02,105,1,100000.0,,628.0,0.628,105.0,0.0029771717239412,0.0403267253485384,0.0066570654139296,15197600000000.0,9796800000000.0,7912800000000.0,36.07016324316571,22.562604682772957,546015033323105.4,351976633051258.06,284288819002939.25,6.644540711539866e-05,4.283257648761236e-05,3.45955425476869e-05,3.371883150235569e-05,2.1736106257716893e-05,1.755608582354057e-05
2,2,2.25,0.02,110,1,100000.0,,655.0,0.655,110.0,0.0033855223897887,0.0415577334868402,0.0062130653294168,15850999999999.996,10218000000000.0,8252999999999.998,32.614473138346035,21.36264808321324,516976083613760.3,333257310098126.5,269169365848486.8,7.179489476648161e-05,4.628100654368237e-05,3.73808129775896e-05,3.970979855751044e-05,2.559805196269268e-05,2.0675349662174853e-05
3,3,2.25,0.02,115,1,100000.0,,682.4,0.6824000000000001,115.0,0.0034763203158149,0.0380834702132525,0.0064185278271597,16514080000000.0,10645440000000.0,8598240000000.0,33.458984525905905,22.83324373758149,552564498449472.0,356198602306271.2,287698871093526.75,7.759872475701459e-05,5.00223184384061e-05,4.040264181563569e-05,4.506527529144654e-05,2.9050342749858106e-05,2.346373837488539e-05
4,4,2.25,0.02,120,1,100000.0,,710.4,0.7104,120.0,0.0036226953449101,0.0388166495123182,0.0067042133781874,17191680000000.0,11082240000000.0,8951040000000.0,33.6119318725144,23.853512032764502,577254991192901.1,372114787711126.4,300554251612832.8,8.353149736037617e-05,5.3846750364540006e-05,4.3491606063666925e-05,5.1514510450220987e-05,3.3207700951382125e-05,2.682160461457788e-05
5,5,2.25,0.02,125,1,100000.0,,783.0,0.7829999999999999,125.0,0.0031604957459478,0.036936319207126,0.0067779705972398,18948600000000.0,12214800000000.0,9865800000000.0,41.206749544858624,32.317437506377814,782081987654343.0,504152025099493.9,407199712580360.5,9.586250395808662e-05,6.179566370851863e-05,4.9911882226111206e-05,5.968138181268426e-05,3.847229571396175e-05,3.1073777307430646e-05
6,6,2.25,0.02,130,1,100000.0,,798.4,0.7984,130.0,0.0035602937343696,0.0377887057281224,0.0069641339881106,19321280000000.0,12455040000000.0,10059840000000.0,37.62646117906792,30.08831619218722,728137251850930.6,469377732598120.6,379112784021558.9,0.0001015169886952,6.544070345647024e-05,5.285595279176441e-05,6.413340989886048e-05,4.13421981166208e-05,3.339177540188604e-05
7,7,2.25,0.02,135,1,100000.0,,833.8,0.8337999999999999,135.0,0.0042901583883462,0.0355753018302337,0.0069589978567807,20177960000000.0,13007280000000.0,10505880000000.0,31.79340133740298,26.45908138213692,640309769447713.5,412761669561336.0,333384425414925.25,0.0001102266688811,7.105520803913445e-05,5.739074495468552e-05,7.007221501634779e-05,4.517051877086883e-05,3.648388054570174e-05
8,8,2.25,0.02,140,1,100000.0,,846.0,0.8459999999999999,140.0,0.0038806270431847,0.0354987486181769,0.0063519815735901,20465298088594.7,13197600000000.0,10659600000000.0,36.42242656289451,30.76581781994119,744245428634155.2,479946757991082.6,387649304531259.0,0.0001165933598147,7.518837589516696e-05,6.072907283840407e-05,7.451355929902094e-05,4.805208045089786e-05,3.881129574880212e-05
9,9,2.25,0.02,145,1,100000.0,,854.6,0.8545999999999999,145.0,0.0047172384833742,0.0340539918862352,0.0071950474509131,20597728767037.24,13331760000000.0,10767960000000.0,30.79032454287458,26.32958089503591,634600474872122.0,410741461962560.25,331752719277452.5,0.0001215914650004,7.869936767153462e-05,6.356487388854717e-05,7.815729093289585e-05,5.058685143165036e-05,4.085861077171759e-05
