Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.translationXerror,SU.translationYerror,M1.translationXerror,M1.translationYerror,M1.rotationXerror,M1.rotationYerror,M2.translationXerror,M2.translationYerror,M2.rotationXerror,M2.rotationYerror,PG.translationXerror,PG.translationYerror,PG.rotationXerror,PG.rotationYerror,M3.translationXerror,M3.translationYerror,M3.rotationXerror,M3.rotationYerror,M4.translationXerror,M4.translationYerror,M4.rotationXerror,M4.rotationYerror,M5.translationXerror,M5.translationYerror,M5.rotationXerror,M5.rotationYerror
0,2.25,0.01,100,1,300000.0,0.0001792590411729576,0.0021712718267892428,0.0004328380453094403,0.0012768640228732198,-0.0003761720559275501,-0.00027900038310111664,0.0004007429885577421,-0.0007092135490280233,-0.0001198207805732918,7.966136144812043e-05,-0.0028217405425576872,-0.00024321242287730525,-0.0001819027132634783,-0.00033521994749694374,0.0010873548155813893,-0.00030938705655117384,0.00039564368507871727,0.0002054328429556999,-0.0005358506119275673,0.002270340999850232,0.00021953358542551086,-0.00013888534577901268,0.0014345394133081285,0.0026782756157718484,-1.342165330058177e-05,0.0004328857152198584
1,2.25,0.01,100,1,300000.0,0.00017933389626042205,-0.00032487666532399987,0.0010616525789790927,0.0002579235002908753,0.00025518674685148465,-0.00027308359217945025,-0.0020105640935443496,0.0021772515374091188,0.00029341356623532953,1.7894678558967765e-05,-0.002797375480832459,0.001166538409176696,0.00011922845914797591,4.32544975221519e-06,-0.0007351013952783857,-0.0029597152412870263,-0.00035027262451899446,-0.00047706448780795795,0.0004638826190577496,-0.0026798039823619497,0.00012044398172463477,-0.0004334925495723998,0.0019317432110110269,-0.000998909834945908,0.000298318861612777,-0.0001861572414817081
2,2.25,0.01,100,1,300000.0,0.0017474258570756573,0.0012925021494034445,0.0005898636212772141,-0.0023283122519803636,0.00041015086637222144,0.0004957237861820528,-0.0006785179749919054,-0.00015209199432118922,-0.00046588682082870805,0.0002548812290517899,-0.001348593354014215,0.0020788441312317866,-0.0003001447162433662,0.00012811596038870524,0.0010737437840105347,0.00272117146625873,-6.07935085700575e-05,-0.00021560729828144445,-0.002860238488425384,-0.0029567388913150877,-0.000382661888623556,-4.837260542288124e-05,0.0019837771949070097,-0.002440513408015124,-0.0003217794390495465,0.00024010911569495065
3,2.25,0.01,100,1,300000.0,0.0021319544199942045,0.0010106603214665487,0.002098440209366095,0.0016507775149599288,2.603519683542794e-05,0.0003195171986329227,0.00014217616751476632,0.002060911584899995,0.00034836998169346617,0.00011410256652901916,-0.0014268725547554944,-0.0011653415684329713,-3.670492090599055e-05,-0.00021849379413424285,-0.0022769647713277432,0.0024002922083170564,-7.126241146088028e-05,7.11797558634094e-05,-0.0017944304073842549,-0.002537436389806624,0.00036905747455230533,-0.00026725312867143636,-0.00030256814667957476,0.0009010413548211221,-0.00045441441370719447,0.0002371140673487162
4,2.25,0.01,100,1,300000.0,0.001735227238173316,-0.0010616035451050765,0.000574808842036278,-0.00011802130013261521,0.00023549405532315528,-0.0003612221742858589,0.0003259503625525589,-0.00043024423067669366,3.6976793446563856e-05,-0.00030868779000701476,0.0008064171812354297,0.0027323259395815452,-0.00039732498024155384,-0.0004823503981878081,-0.0001859273679268975,0.0013399607420142524,-2.4713311349746758e-06,-7.485626983718308e-05,-0.0010570852150153856,-0.00286170109991754,9.547529036791767e-05,-9.726469796745885e-05,-0.0001539726628336231,-0.0011717970389037067,0.0004892363590561812,0.00040904550741130733
5,2.25,0.01,100,1,300000.0,0.0012399915798832215,0.0025005691944477576,0.0010007349890752606,-0.0016715371193266736,0.00016195074876415182,0.00019627864059850331,-0.0022697373348975463,-0.0017205468144291304,0.00010743057752913253,-0.00042372331646232096,0.0003015151640256,-0.0012160085549756912,0.0002777153898945302,-0.00045247627252851207,-0.0028865548831060006,-0.0027522916707436356,-0.0003141418966220143,-0.00021587018161035735,-0.002354066182832089,0.0008423178002285535,0.00014508260453565845,0.00015586324685923987,-0.001398764611125064,0.00044507209232123217,-0.00045807436484514486,-0.00041484008538732187
6,2.25,0.01,100,1,300000.0,-0.002377743198486283,-0.0024414459338993138,0.0002592003226496624,0.001165456081460627,7.020939477083452e-05,0.0002837618629434593,-0.000172489792949091,0.0022445980589561876,0.00019283864248786182,-0.0002325570157713709,-0.0015459618820691666,0.002850110022246901,0.0004904388196223647,0.00035054205480913295,0.00299148756512791,0.0015876627695898269,-9.312481433101905e-05,-0.00044859589250455635,0.0022840896992205187,-0.00019952628478513363,2.964732761264713e-05,0.00044416432311467546,-0.0020064226991596316,-7.581058390101992e-05,-0.00044830431099201107,0.00036217633406761707
7,2.25,0.01,100,1,300000.0,0.002165228392845037,-0.0003481982725812363,-0.0015836553802592074,0.0011005303377907474,-0.000279297189050901,0.00028093645606750263,-0.00044807685742507836,-0.0002541066866550649,-0.0004659292323004206,0.00017844114012936752,0.0025323777523221652,-0.0010530782360685064,0.00010946143542343975,-2.1479581993485552e-05,-0.0012289115066081335,-0.002090945770575934,-9.865109219107346e-05,-0.0003807563944060263,-0.0017592326186295195,-3.369833364206404e-05,-0.0003625005643503648,-9.26940026458082e-06,-0.0008011351336418655,-0.000628339453096607,0.00025823264347171315,7.431126370904535e-06
8,2.25,0.01,100,1,300000.0,-0.0025587420104242566,0.002818667081740077,0.0021210658317149253,0.0005951065166330902,-4.576415815692636e-05,-0.0004883592616327282,-0.0010350900995839511,-0.0002583789263172821,2.4117938998287802e-05,-0.0003929840873147457,-0.0028824729077138143,0.0004194951360989977,0.0004658327860463335,0.00037799112056354737,-0.002227895421862257,-0.0009181295508056695,0.00018730041686818748,0.00017114981473939086,0.001838846164420451,0.0006640644184850312,0.0004291481053950775,9.07189085932996e-05,-0.0017455878201233343,0.0015046357422213563,-8.813213508909555e-05,2.685593595900778e-05
9,2.25,0.01,100,1,300000.0,0.0024713223783421013,-0.0020063146939912732,0.0004959104100969486,0.0026019255410450505,-0.00010484224916148263,0.00026971847346045135,0.0011915516626572432,0.0014843478955968862,-0.0004333523556302001,0.00021480205219785384,0.002254257947068629,0.0004985177427810194,-0.00038693369011359057,-4.31096422138626e-05,0.0021998588562466732,0.0018809796837002766,-0.0002879687668584393,0.00016054009284049476,0.000704418666962706,-0.0008219834234819354,0.00020649919786893095,0.0004949909328786602,-0.0009309736888351546,0.002457272475878571,-0.0001614999609281951,-0.00011286256395055306
