,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.translationXerror,SU.translationYerror,M1.translationXerror,M1.translationYerror,M1.rotationXerror,M1.rotationYerror,M2.translationXerror,M2.translationYerror,M2.rotationXerror,M2.rotationYerror,PG.translationXerror,PG.translationYerror,PG.rotationXerror,PG.rotationYerror,M3.translationXerror,M3.translationYerror,M3.rotationXerror,M3.rotationYerror,M4.translationXerror,M4.translationYerror,M4.rotationXerror,M4.rotationYerror,M5.translationXerror,M5.translationYerror,M5.rotationXerror,M5.rotationYerror,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.01,100,1,300000.0,-0.0080001542763927,-0.0030359448729337,-0.0266374605734762,0.0289316431375643,0.0002843375392337,-0.0042814044940874,0.006675373005796,0.0090897830414546,-0.000970792119439,0.0041795950565401,0.0116294764221445,0.0181843214868204,0.0039471703665354,-0.0010872367311135,0.0218361125342319,0.0104242412643519,-0.0014045514930178,0.0047868402082135,0.0267360773686887,0.0006725676296883,-0.0026969661786067,0.0039344744957543,0.0214730908765874,-0.0042847870108667,-0.0024421737683348,-8.487523316314059e-05,,555.0,0.185,100.0,0.0018317863955985,0.0401414937616029,0.0045880880606395,-0.0283582262334904,-0.0144536357336191,4477000000000.0,2886000000000.0,2331000000000.0,54.59151800683832,10.099430831265089,244406226116615.12,157551120967735.34,127252828473940.12,1.8524876864274635e-05,1.1941656160441502e-05,9.64518382189506e-06,8.91371003066141e-06,5.746027953649505e-06,4.641022577947677e-06
1,1,2.25,0.01,100,1,300000.0,0.010511994220911,0.0278957134883261,-0.0008867616522069,-0.0286899894935887,-0.001506441642047,-0.0023224458745229,0.0126919105088714,-0.0253645040425768,0.0003671802968247,-0.0027707873587778,0.0297916001456558,0.0120249137200542,0.0027888633814952,-0.0004650569413765,-0.0243842302203064,-0.0095048398886051,-0.0022592449633071,-0.0029215904425814,-0.0165858515617301,-0.0263978013619449,-0.0015952506793258,-0.0017842136442276,-0.0169714253474399,0.0138835228059938,0.0031886334908437,-0.0010973605803946,,513.0,0.1709999999999999,100.0,0.0023143690681877,0.0469578082010258,0.0051225481069391,-0.0776510344829729,0.0002391244415728,4138200000000.0,2667600000000.0,2154600000000.0,43.20832030403248,7.388622771989552,178804671082147.2,115262515243037.05,93096646927068.38,1.712299429076196e-05,1.1037963261813495e-05,8.915278019157055e-06,8.239159001314062e-06,5.311193405805758e-06,4.28981005853542e-06
2,2,2.25,0.01,100,1,300000.0,-0.0138876809112753,-0.0095089039209644,0.0212419212461607,-0.0048801990973193,-0.0011605836830017,-0.0039595161560831,-0.0289652496277649,-0.0230915187474383,-0.0028145050085711,0.0004062057448524,-0.0061099801399448,-0.0134040529133188,0.0043067620149894,-0.0049529481041078,-0.0097384287240596,0.0085165696751327,0.0018345991814084,-0.0048229839213232,0.0001966768629872,0.0276182116673366,0.0046801877679043,-0.0007267428965198,-0.0073527065288789,-0.029971964055728,0.0016659213466724,-0.001691871098951,,521.0,0.1736666666666666,100.0,0.0027871863483994,0.0322461496315204,0.0046296910103528,-0.0037985137998974,0.0081742946835529,4202733333333.3335,2709200000000.0,2188200000000.0,35.878476535099445,6.230895424928938,150787669283280.28,97201968628891.42,78509282354104.61,1.7390019542859618e-05,1.1210095242504544e-05,9.054307695869055e-06,8.367644911665937e-06,5.394019033966472e-06,4.356707681280611e-06
3,3,2.25,0.01,100,1,300000.0,-0.014721189128282,-0.0200774490728594,-0.0204571705265751,0.0188662803534025,-0.0034957003393823,0.004843341433551,-0.0208963291442969,0.0095282546398335,-0.0013925007443314,0.0006332425838786,0.0186702136890691,-0.003120794841339,0.0013421583135208,-0.0003903750165549,-0.0138991694390195,-0.0004747197566104,-0.0028525490462239,-0.0044258083951624,0.0180765732088839,-0.0038383917854232,0.0038063379512942,-0.0008974035626477,0.0051589504763051,-0.0195692996628955,-0.0021999987216907,0.0013996310104283,,573.0,0.191,100.0,0.0032568702946775,0.0229090280959357,0.0050329227154124,0.034809613689034,-0.0257725127093298,4622200000000.0,2979600000000.0,2406600000000.0,30.70432376856433,5.864525839795786,141921525323058.03,91486603100814.28,73893025581426.9,1.912568368149436e-05,1.232895311699636e-05,9.958000594497062e-06,9.202803328953132e-06,5.93238561701111e-06,4.7915422291243575e-06
4,4,2.25,0.01,100,1,300000.0,-0.0170436842192525,0.0146356269518063,-0.0132633706299031,-0.0131700463607939,0.0016762428899532,0.0027363706733844,-0.0036621700767728,-0.0075933623634678,-0.0047261350268713,0.0036924595292693,0.0167053059445135,0.0080445000112605,-0.0009670491369598,0.0034192627378867,-0.0186626236430655,-0.0188601996418383,0.0012164438374879,-0.0016308539029246,0.0178915899387488,0.0185103882146567,-0.0035008783370707,0.0022811701948989,0.0065615442150212,0.019072071277528,-0.0046808107371163,0.0003346224489095,,531.0,0.177,100.0,0.0031833321382919,0.0437670106130875,0.0045641467138731,0.0029418154982665,4.47799345127358e-05,4283400000000.0,2761200000000.0,2230200000000.0,31.413624358298065,5.560211511418757,134557118576333.9,86739299578132.61,70058665043876.34,1.772380110798168e-05,1.1425260218368356e-05,9.228094791759056e-06,8.528252299605782e-06,5.497551069167364e-06,4.440329709712101e-06
5,5,2.25,0.01,100,1,300000.0,0.0077438437821024,-0.0223164232133012,-0.0072553526332485,-0.0019583787871758,-0.001803182800669,0.0017900141612027,0.0106115611166267,-0.0077478719230902,-0.003393850742731,0.0005688448299854,0.0223864809342509,0.0108352477418713,-0.0002897983696544,-0.0019228468728382,-0.0123803327434757,-0.017705820171516,-0.0039664783152894,0.0015761194961678,0.0009716519021136,0.0223092448027737,-0.0045336019925728,0.0049854722016399,-0.020216657770615,-0.0295855978277219,0.0033601899593844,0.0002807265861008,,501.0,0.167,100.0,0.0030941394179677,0.0360975824348614,0.0053890623923537,0.0025483521617715,0.001299113655449,4041400000000.0,2605200000000.0,2104200000000.0,32.31916423005919,5.397300426419884,130614670319361.2,84197886652150.17,68005985372890.53,1.6722456412615482e-05,1.0779765290776925e-05,8.706733504089054e-06,8.046430135786246e-06,5.186954963564687e-06,4.189463624417633e-06
6,6,2.25,0.01,100,1,300000.0,0.0245421497210678,0.0180958934575707,-0.0047864110429385,0.0065550003015585,0.0019419302744976,-0.0020579636501822,0.0204400676049975,0.0147053771015287,-0.0018384671922848,-0.0027321811452501,-0.0026660791119336,0.0238881244788149,-0.0044027038769828,-0.002003845773378,0.0043817756108656,-0.0097873986086257,0.0019330016442772,-0.0028236232736318,0.009475089151421,0.0173180241296672,-0.0023374677404872,0.004270679540559,-0.0223012490800805,0.02510148473068,-0.0041744718794477,-0.0017731234837005,,551.0,0.1836666666666666,100.0,0.0036687393001955,0.0325099825875834,0.0038500093255554,0.07215136516836,-0.0073031167627581,4444733333333.333,2865199999999.9995,2314199999999.9995,27.257319699622943,5.006261051497414,121151517446237.4,78097672403359.64,63078889248867.41,1.839136423822581e-05,1.1855590170095974e-05,9.575668983539055e-06,8.849467075485473e-06,5.704615139569146e-06,4.607573766575079e-06
7,7,2.25,0.01,100,1,300000.0,0.0038243986701224,0.0277296032748173,0.0137527282700736,-0.0081389831443989,-0.0045901399903849,-0.0043932291160779,-0.0112043210947188,-0.0203556024403623,0.0018318376653118,0.0047165626244775,0.0014634617871736,-0.0053868061435,-0.0007325451215654,0.0037100675982494,0.0227082689978051,0.0074676344077294,0.0029296148814709,0.0024459087886661,0.0163056317616059,0.0167996239709563,0.0007595137862488,-0.0002240432731345,0.0101402270567517,0.0146052396440339,0.0006329672839849,-7.712564960381339e-05,,507.0,0.169,100.0,0.0021117514853585,0.0409702959052529,0.0044164509812449,0.0169215066666328,0.0101819650515558,4089800000000.0,2636400000000.0,2129400000000.0,47.35405690173799,8.002835616393721,193668621916728.03,124844235615742.06,100835728766560.88,1.692272535168872e-05,1.090886427629521e-05,8.811005761623054e-06,8.142794568550154e-06,5.249074184685222e-06,4.239636841476526e-06
8,8,2.25,0.01,100,1,300000.0,0.02539987510876,-0.0136614328189543,0.0296162151280422,0.014353572811342,0.0032633081923847,-0.0044147039914231,-0.0219553471381167,0.0221738538590234,-0.0035766689087812,0.0035947034238124,0.0268638836749686,0.0119676011091055,-0.0024479502549121,-0.0003700659408104,0.020965752709375,0.0099563910242699,0.0023815903440364,-0.0032002625524102,0.0104877701533811,0.0295323126920323,-0.0002415757997668,-0.0020925979129587,0.0175509551724869,-0.000171996180309,0.0037863167228155,0.004678686387131,,507.0,0.169,100.0,0.003001242723144,0.0526012370197992,0.0054086254545979,-0.0367384085434441,-0.0017786350473644,4089800000000.0,2636400000000.0,2129400000000.0,33.31953101588579,5.631000741684698,136270217948769.69,87843611570281.28,70950609345227.19,1.692272535168872e-05,1.090886427629521e-05,8.811005761623054e-06,8.142794568550154e-06,5.249074184685222e-06,4.239636841476526e-06
9,9,2.25,0.01,100,1,300000.0,-0.015544408698179,0.0088321935212326,-0.0132913051692465,0.0175264836593581,-0.0015480529837411,-0.0035853457585972,0.0243376565503009,0.0075981465763064,-0.0018484974540308,-0.0014488344359999,0.0264441684958113,0.0118266980977169,0.0025795283814235,0.0034146628664217,0.0256740718325832,0.0123476555900265,-0.0008580797037866,-0.0031811243813225,-0.0124728696279442,0.0082623386755293,-0.0034015896313841,0.0031445071119814,0.0026327316912104,0.0120451668450801,0.0001084532147226,0.0037301641026065,,500.0,0.1666666666666666,100.0,0.0028308612269682,0.0343233178489702,0.004778759694958,-0.0195909919806612,-0.0197089726571411,4033333333333.3335,2600000000000.0,2100000000000.0,35.324938943437644,5.887489823906275,142477253738531.84,91844841252937.88,74182371781219.05,1.668907825610328e-05,1.0758248793190542e-05,8.689354794500053e-06,8.030369396992262e-06,5.176601760044598e-06,4.181101421574484e-06
10,10,2.25,0.01,100,1,300000.0,0.0237475134627464,9.296239709809598e-05,0.0155669896102186,-0.009566670169737,0.0044127029103123,0.0044442311745561,0.0127894136287088,-0.0152734742403988,0.0006363877566753,-0.0008990289165714,-0.0229394962989081,-0.0081549370473532,-0.0025528981607537,0.003921412543633,0.0082973012195811,-0.0111350674257501,0.0030903132174934,-0.0003289890607124,0.0197653225434232,-0.0208297246753856,-0.0021439917873756,0.0006914836535352,0.005292278992931,-0.0246369948931483,0.0034798131428788,-0.0004122847067455,,528.0,0.176,100.0,0.0027968490723395,0.0423277473727207,0.0031891033161294,0.0007896881658508,-0.0267868900125025,4259200000000.001,2745600000000.0005,2217600000000.0005,35.75452139659071,6.292795765799966,152285657532359.2,98167613946479.48,79289226649079.58,1.7623666638445062e-05,1.1360710725609214e-05,9.175958662992058e-06,8.48007008322383e-06,5.4664914586070975e-06,4.415243101182656e-06
11,11,2.25,0.01,100,1,300000.0,0.0249905932515126,0.0081120917562622,-0.00586226018399,0.0009683238747558,0.0040812506519437,0.0043233428647882,-0.0018917852926886,-0.025017746573568,-0.0034166445834746,-0.0006082592744602,-0.0068859343663205,0.01112559783742,-0.0049678523193282,-0.002144018043271,0.0182508500665489,-0.0239992988880819,-0.0045278535610572,0.0003249037639939,-0.0232849388894382,0.0012851022988905,-0.0019810336155526,0.0029355595066538,0.0109723409372871,-0.0145790521572294,-0.0004735940287275,0.0023393960962232,,494.0,0.1646666666666666,100.0,0.0029644849548731,0.027270680309658,0.0044716505506748,-0.0210162233795699,-0.0097437499997559,3984933333333.334,2568800000000.0005,2074800000000.0,33.732672461574424,5.5546467320059225,134422450914543.31,86652489019292.39,69988548823274.62,1.648880931703004e-05,1.0629149807672258e-05,8.585082536966055e-06,7.934004964228356e-06,5.114482538924064e-06,4.13092820451559e-06
12,12,2.25,0.01,100,1,300000.0,-0.0282681232227639,0.012658018213144,0.00293179544773,-0.0043541172014758,0.0004261951851271,0.0049474293360007,-0.0173191538822899,0.0297267027852811,0.0005701179911398,-0.0039656652378412,-0.0136833497619014,-0.0056956299018026,0.0019126846255884,-0.0003056461491027,0.00991185514252,0.0035269583558791,-0.0030957272685554,0.001064783959407,-0.0059465437551896,0.0231517733047439,-0.0031997069384672,0.0008126312546984,-0.0059297789170278,0.0013174368216104,-0.004888035571517,-0.0004785702368435,,520.0,0.1733333333333333,100.0,0.0023615498581079,0.0455498199764792,0.004576854441871,0.0119531344649761,-0.0032110513638625,4194666666666.667,2704000000000.0,2184000000000.0,42.34507251950091,7.339812570046824,177623464195133.2,114501076092730.44,92481638382590.0,1.735664138634741e-05,1.1188578744918163e-05,9.036928986280056e-06,8.351584172871953e-06,5.383665830446383e-06,4.348345478437463e-06
13,13,2.25,0.01,100,1,300000.0,0.0051488188465162,-0.0058987169177393,0.0091267396151258,0.0068592264247055,-0.0003187230840583,-0.0036387716909095,-0.0120260388537086,-0.0226744745822768,-0.001777211838924,0.0028452405063577,-0.0020215168333442,-0.0086338894779902,-0.0048518596464536,0.0003055370821767,-0.0213132456671028,0.0148251862542393,-0.0028458686785686,0.0006218030789402,-0.0277115253330001,0.0112078028331967,0.0037767921254141,-0.0018271010580334,-0.0176305751991184,-0.0249784787406213,0.0012562419270114,-0.004644054509199,,504.0,0.168,100.0,0.0023216031189008,0.0418948748897517,0.0036336520585033,-0.0271526490138681,-0.0152604985159774,4065600000000.0,2620800000000.0,2116800000000.0,43.07368438036253,7.236378975900905,175120371216801.9,112887512024054.12,91178375096351.4,1.6822590882152105e-05,1.0844314783536066e-05,8.758869632856054e-06,8.0946123521682e-06,5.218014574124956e-06,4.21455023294708e-06
14,14,2.25,0.01,100,1,300000.0,-0.0043209596418315,0.0088922150208391,-0.0008720353040903,0.0171794702495052,-0.0005183993558372,0.004733056760821,-0.0133199035698795,-0.0168729374840631,-0.0009101740605702,0.0026370298060242,0.0119138731986482,-0.0100178965610204,-0.0001695857727476,-0.0012004867278776,-0.0213725132545003,0.0299692813176626,-0.0034437822800883,0.0040259551812015,-0.0278387948719964,0.028788524954665,0.0006677178103045,0.0008670379272914,0.0207236556808669,-0.0079354464417106,-0.0013347557231745,0.0038041638787606,,506.0,0.1686666666666666,100.0,0.0029471514896357,0.0248152532867955,0.0032536525985869,-0.0480424344227576,0.0115038306575036,4081733333333.333,2631200000000.0,2125200000000.0,33.93106881396149,5.723040273288171,138497574613573.72,89279428263295.48,72110307443430.97,1.6889347195176513e-05,1.0887347778708829e-05,8.793627052034053e-06,8.126733829756169e-06,5.238720981165133e-06,4.2312746386333775e-06
